"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Aeróbico por montaña","Run","Utilizando ya todo tu rango de Zona 2, no limitado a ir despacito como la semana pasada.","0.75","","2026-03-18","","7054.77001953125","228","310","560.231"," *18/03/2026 David Prado: desde el domingo que salí por el monte me duele la parte interior de la rodilla derecha, no solo corriendo sino estando de pie en la oficina normal, por lo demás poco cansado se nota que esta semanas estoy metiendo mucha pierna porque las noto cansadas a tope* *18/03/2026 David Prado: el sóleo y lo demás no me ha dado problemas así que por esa parte de puta madre*","0.679739713668823","2.88299989700317","","175","","161","175","","","1.06493254227438","76.14","3","17","18","2","0","","","","","","1","0","2","15","21","2","","","","","6","9"
"Aeróbico por asfalto","Run","","0.75","","2026-03-20","","7197.97021484375","210","312","661.018"," *20/03/2026 David Prado: buen entreno sigue el dolor de rodilla pero bien*","0.873171389102936","2.28999996185303","","168","","160","176","","","1.02113179830805","89.81","1","29","19","2","0","","","","","","3","7","10","11","14","7","","","","","3","3"
"Aeróbico largo por montaña","Run","","1.5","","2026-03-22","","10427.490234375","128","432","941.684"," *22/03/2026 David Prado: la idea era hacer una hora y media tenía claro el recorrido eran nueve kilómetros que son una parte de entre el Peña cabarga y al subir bien pero ya arriba te mete por un sitio que no está desbrozado y me perdió varias veces , de ahí que se me haya ido la hora*","2.04375910758972","1.41700005531311","","112","","162","187","","","0.805599273451206","131.82","6","59","32","22","3","","","","","","57","17","19","13","7","9","","","","","4","5"
"Descanso","Day Off","","","","2026-03-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aeróbico con tramos de int. aeróbica","Run","todos los tramos saltan automáticamente (a los 5min que marco) salvo el calentamiento y la vuelta a la calma que finalizan con el botón de lap, para si necesitas gestionarlos de manera distinta y alargar o acortar un poco.","1","","2026-03-25","","9128.25","230","317","744.508","","0.898258626461029","2.82299995422363","","176","","163","180","","","1.05853202677335","99.31","2","20","26","5","0","","","","","","0","0","1","32","18","2","","","","","3","3"
"1-Aeróbico por montaña","Run","","1","","2026-03-26","","4800","","",""," *26/03/2026 David Prado: se me apagó el reloj, cinta muy chill y después pierna* *26/03/2026 David Prado: se notó lo de ayer*","0.5","2.66700005531311","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Descanso","Day Off","","","","2026-03-27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Series de potencia en cuesta!","Run","3x3x80m en cuesta (rec:3min) Es hacer 3 series de 3 ""sprints"" en una cuesta de más de un 6% (cuanto más desnivel mejor) con una recuperación que consista en la bajada andando-trotando y algo más hasta los 3 minutos aproximadamente para que la siguiente repetición sea máxima de nuevo. Duración total del entreno entre calentamiento series, rodajes suaves entre series y rodaje final, deberá de ser entre 40 y 60min. Lógicamente todos los rodajes más lentos de 6:00min/km sin forzar la maquinaria. En este entreno al igual que en el resto de sesiones de series en las que no haya ""plan"" utiliza el botón de lap manualmente para ir registrando las series.","","","2026-03-28","","16884.41015625","179","335","1509.582","","2.33819127082825","2.00600004196167","","139","","161","190","","","0.955696619707848","212.56","7","59","62","10","2","","","","","","27","17","37","19","27","13","","","","","4","5"
"Aeróbico largo por montaña","Run","","1.5","","2026-03-29","","5665.16015625","216","492","486.377","","0.625211954116821","2.51699995994568","","173","","151","183","","","1.09889142856319","74.17","4","29","3","2","0","","","","","","2","5","10","12","4","5","","","","","3","3"
"Descanso","Day Off","","","","2026-03-30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aeróbico con tramos de int. aeróbica en subida","Run","Entreno un poco ""raro"" de coger una subida y subir y bajar como los tontos, subiendo a ritmo de pulsaciones que yo te marco, y bajando ya libre sin hacer mucho caso al reloj (solo para el tiempo). Las subidas se finalizan automáticas pero las bajadas se finalizan con el botón de lap para que te las gestiones más o menos según lo que tardes.","1.16666666666667","","2026-04-01","Ayer entrenamos las fibras rápidas en el gimnasio, hoy las lentas y el sistema cardiovascular corriendo.","10008.849609375","216","336","889.248"," *01/04/2026 David Prado: el entrenamiento bien no sé cómo se verán al final las vueltas pero yo creo que ha cuadrado bastante bien, es subir y bajar desde la iglesia de la Virgen de Valencia hasta cuatro caminos, problema al principio sobre todo he notado un poco de molestia en la tibia nada que me haya hecho parar pero me recuerda un poco a cuando me empezaba a doler, pero he podido correr sin problema*","1.13901925086975","2.44099998474121","","171","","154","175","","","1.03874855306148","123.2","7","43","16","1","0","","","","","","1","10","14","15","17","11","","","","","3","3"
"Series de VO2max en subida","Run","Calientas al trote, haces tres progresivos en subida corriendo a las pulsaciones que te marco (1minZ3-1minZ4-30segZ5) y bajas andando para recuperar. La bajada finaliza con el botón de lap, osea que puedes modificar algo la duración, lo que te lleve, pero eso sí, andando, o a un trote súper despacio. Estamos en semana de carrera y la bajada es la que más machaca muscularmente, cosa que no nos interesa. Solo quiero activarte un poco y llegar a pulsos altos de Z5, aunque en este momento de la preparación no sea nuestro objetivo, para despertar el cuerpo antes de este finde.","0.708333333333333","","2026-04-02","","5648.08984375","189","464","481.656","","0.708674728870392","2.21399998664856","","157","","148","192","","","1.10609062330721","85.76","16","17","4","4","1","","","","","","12","4","8","8","3","7","","","","","6","7"
"Descanso","Day Off","","","","2026-04-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Activación pre-carrera","Run","Un par de achuchones rápidos en subida, y 2min a ritmo tempo.","0.527777777777778","","2026-04-04","","3035.6201171875","163","401","229.646","","0.391776949167252","2.15199995040894","","147","","146","185","","","0.950167466495008","34.63","8","12","2","2","0","","","","","","11","2","4","1","2","3","","","","","1","5"
"Trail Running","Run","","","","2026-04-05","","13767.5703125","170","413","1190.851","","1.94894087314606","1.96200001239777","","133","","165","187","","","0.947087723100382","173.79","8","25","49","31","4","","","","","","34","12","20","23","14","14","","","","","4","3"
"Aeróbico fácil por asfalto","Run","","0.5","","2026-04-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aeróbico por montaña","Run","","0.75","","2026-04-09","","6234.9599609375","206","301","540.804"," *09/04/2026 David Prado: un poco dolor de tibia por el resto bien, esta vez frecuencias cardíacas respetadas*","0.728243350982666","2.37800002098083","","171","","156","175","","","0.98374845487223","69.52","4","32","7","0","0","","","","","","2","6","9","15","9","3","","","","","3","5"
"Descanso","Day Off","","","","2026-04-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aeróbico largo por montaña","Run","","1.5","","2026-04-12","","12211.8095703125","220","353","1095.714"," *12/04/2026 David Prado: A partir de los dos kilómetros cuando ha empezado a calentar las piernas, genial sin dolor, me he visto bien*","1.3815975189209","2.45499992370605","","169","","157","177","","","1.05490987114086","152.81","5","57","18","2","0","","","","","","3","7","14","25","19","15","","","","","3","3"
"Descanso","Day Off","","","","2026-04-13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
